combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
32,2,0.1842,0.1277,0.2627,0.1533,0.3802,0.1841,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
32,3,0.1849,0.1281,0.2641,0.154,0.3789,0.1842,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
32,4,0.1898,0.1399,0.2665,0.1648,0.3858,0.1963,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
33,0,0.3043,0.215,0.4118,0.2512,0.5889,0.2978,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,1,0.3029,0.2161,0.4143,0.2532,0.5826,0.2985,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,2,0.3059,0.2178,0.427,0.258,0.6074,0.3059,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,3,0.3122,0.2212,0.4295,0.2604,0.6002,0.3061,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,4,0.3018,0.2152,0.4152,0.253,0.5906,0.2996,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
34,0,0.3026,0.212,0.4065,0.2471,0.5748,0.2917,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,1,0.2905,0.2075,0.3884,0.2407,0.5571,0.2856,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,2,0.2703,0.193,0.3705,0.2268,0.545,0.273,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,3,0.2913,0.2098,0.3935,0.2442,0.5483,0.2857,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,4,0.2738,0.1948,0.373,0.228,0.5467,0.2744,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
