combo_id,fold,val_auc,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
54,4,0.7493,256,1,0.5,0.7,0.001,0.0001,300,64,0.0,0
55,0,0.8306,256,1,0.3,0.7,0.001,0.001,300,128,0.1,10
55,1,0.8148,256,1,0.3,0.7,0.001,0.001,300,128,0.1,10
55,2,0.8025,256,1,0.3,0.7,0.001,0.001,300,128,0.1,10
55,3,0.8331,256,1,0.3,0.7,0.001,0.001,300,128,0.1,10
55,4,0.798,256,1,0.3,0.7,0.001,0.001,300,128,0.1,10
56,0,0.8191,128,2,0.3,0.7,0.001,0.001,300,64,0.1,10
56,1,0.7611,128,2,0.3,0.7,0.001,0.001,300,64,0.1,10
56,2,0.8053,128,2,0.3,0.7,0.001,0.001,300,64,0.1,10
56,3,0.8393,128,2,0.3,0.7,0.001,0.001,300,64,0.1,10
56,4,0.7866,128,2,0.3,0.7,0.001,0.001,300,64,0.1,10
57,0,0.7857,256,1,0.5,0.5,0.001,0.001,100,128,0.0,0
57,1,0.8081,256,1,0.5,0.5,0.001,0.001,100,128,0.0,0
57,2,0.8275,256,1,0.5,0.5,0.001,0.001,100,128,0.0,0
57,3,0.8017,256,1,0.5,0.5,0.001,0.001,100,128,0.0,0
57,4,0.7698,256,1,0.5,0.5,0.001,0.001,100,128,0.0,0
58,0,0.7936,64,4,0.3,0.7,0.005,0.0001,100,64,0.1,10
58,1,0.806,64,4,0.3,0.7,0.005,0.0001,100,64,0.1,10
58,2,0.784,64,4,0.3,0.7,0.005,0.0001,100,64,0.1,10
58,3,0.821,64,4,0.3,0.7,0.005,0.0001,100,64,0.1,10
58,4,0.7782,64,4,0.3,0.7,0.005,0.0001,100,64,0.1,10
59,0,0.7756,128,2,0.3,0.5,0.005,0.001,100,128,0.0,10
59,1,0.7669,128,2,0.3,0.5,0.005,0.001,100,128,0.0,10
59,2,0.7685,128,2,0.3,0.5,0.005,0.001,100,128,0.0,10
59,3,0.7429,128,2,0.3,0.5,0.005,0.001,100,128,0.0,10
