combo_id,fold,val_f1,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
36,4,0.497,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
37,0,0.7052,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,1,0.7183,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,2,0.7617,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,3,0.7403,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,4,0.75,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
38,0,0.5792,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,1,0.4623,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,2,0.3253,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,3,0.6164,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,4,0.7187,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
39,0,0.6598,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,1,0.6497,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,2,0.6429,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,3,0.6308,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,4,0.6808,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
40,0,0.6595,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,1,0.7027,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,2,0.5187,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,3,0.6328,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,4,0.6383,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
41,0,0.6481,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,1,0.6433,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,2,0.5943,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,3,0.6403,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,4,0.6642,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
42,0,0.6664,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,1,0.6758,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,2,0.6674,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,3,0.6742,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,4,0.5966,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
43,0,0.5964,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,1,0.5272,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,2,0.3697,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,3,0.5287,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,4,0.1434,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
44,0,0.6922,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
44,1,0.6028,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
44,2,0.752,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
